ArtikelNr,Bezeichnung,Hersteller,Land,Qualitaet,Gebinde,PreisInklMwst,EntMwst,MwstSatz
571157,Aloe Vera Gel m.AloeV.Frischsaft - Demeter Projekt,Primavera,Diverse,Naturkosmetik (BNN),75ml,8.7822,1.4021999999999997,19
571481,Body Butter Pink Lotus - Holy Body,Khadi,Indien,Naturkosmetik (BNN),250ml,18.3974,2.9374000000000002,19
571479,Body Butter Rose Love - Holy Body,Khadi,Indien,Naturkosmetik (BNN),250ml,18.3974,2.9374000000000002,19
690945,Curl Styling Cream - Lockencreme für Sprungkraft,Unique Beauty,Diverse,Naturkosmetik (BNN),150ml,5.3073999999999995,0.8473999999999995,19
573520,DISPLAY Herbosense - mit 8 Räucherstäbchen Variant,Aromandise,Diverse,nicht per Bio-VO geregelt,Display,177.31,28.310000000000002,19
691881,Duftstofffreies Haarspray für starken Halt,Unique Beauty,Diverse,Naturkosmetik (BNN),150ml,5.3073999999999995,0.8473999999999995,19
989305,Duschbad Haut + Haar Kamille Birke,Lenz,Diverse,Naturkosmetik (BNN),950ml,8.9131,1.4230999999999998,19
989295,Duschbad Sonnenhut Hopfen,Lenz,Diverse,Naturkosmetik (BNN),950ml,8.9131,1.4230999999999998,19
571129,Frischedeo Lebensfreude,Primavera,Diverse,Naturkosmetik (BNN),50ml,6.021399999999999,0.9613999999999994,19
573521,Geschenkset Räucherritual Salbei & Paolo Santo,Aromandise,Diverse,nicht per Bio-VO geregelt,Set,8.496599999999999,1.3565999999999994,19
571126,Körperlotion Lebensfreude,Primavera,Diverse,Naturkosmetik (BNN),200ml,10.9718,1.7517999999999994,19
571093,Lunchbox - SOS Kinderdörfer weltweit,Memo,Volksrepublik China,nicht per Bio-VO geregelt,Stück,4.3078,0.6878000000000002,19
570285,Naturseife All in One,Unicorn,Diverse,Naturkosmetik (BNN),100g,2.2015,0.3514999999999997,19
571521,Rosenblütenwasser,Primavera,Türkei,Naturkosmetik (BNN),100ml,7.6754999999999995,1.2254999999999994,19
587713,Silber-Deo INTENSIV - RollOn,Bioturm,Diverse,Naturkosmetik (BNN),50ml,5.2836,0.8435999999999995,19
587714,Silber-Deo INTENSIV frisch - RollOn,Bioturm,Diverse,Naturkosmetik (BNN),50ml,5.2836,0.8435999999999995,19
587801,Silber-Deo Spray INTENSIV frisch,Bioturm,Diverse,Naturkosmetik (BNN),50ml,4.7005,0.7504999999999997,19
587800,Silber-Deo Spray INTENSIV,Bioturm,Diverse,Naturkosmetik (BNN),50ml,4.7005,0.7504999999999997,19
573056,Skin Longevity Nachtpflege,Lavera,Diverse,Naturkosmetik (BNN),50ml,12.1499,1.9398999999999997,19
573055,Skin Longevity Tagespflege,Lavera,Diverse,Naturkosmetik (BNN),50ml,11.6382,1.8582,19
573057,Skin Longevity Zellschutz,Lavera,Diverse,Naturkosmetik (BNN),30ml,12.542599999999998,2.0025999999999993,19
691873,Tiefenreinigendes Shampoo,Unique Beauty,Diverse,Naturkosmetik (BNN),250ml,4.6171999999999995,0.7371999999999996,19
571094,Trinkflasche - SOS Kinderdörfer weltweit,Memo,Volksrepublik China,nicht per Bio-VO geregelt,Stück,5.7358,0.9158,19
691872,Volumen Shampoo,Unique Beauty,Diverse,Naturkosmetik (BNN),250ml,4.6171999999999995,0.7371999999999996,19
90432,ZEDAN Juckreizstopp - Rollstift,MM-Cosmetic,Diverse,Naturkosmetik (BNN),12ml,4.3078,0.6878000000000002,19
690439,ZEDAN SP Insektenschutz - Sprühlotion,MM-Cosmetic,Diverse,nicht per Bio-VO geregelt,100ml,4.3078,0.6878000000000002,19
690433,ZEDAN SP Intensiv Insektenschutz - Sprühlotion,MM-Cosmetic,Deutschland,nicht per Bio-VO geregelt,100ml,5.0456,0.8056000000000001,19
989408,Lippenbalsam Ringelblume Kamille,Lenz,Diverse,Naturkosmetik (BNN),"4,7g",1.9753999999999998,0.3153999999999999,19
696606,2-in-1 Erfrischende Reinigung,Weleda,Diverse,Naturkosmetik (BNN),100ml,6.771100000000001,1.0811000000000002,19
989240,24 Stunden Creme Schachtelhalm Hopfen,Lenz,Diverse,Naturkosmetik (BNN),50ml,3.7128,0.5928,19
571636,24h-Feuchtigkeitscreme DEMETER - Lavendel,Baldini,Diverse,Demeter (Deutschland),50ml,6.8782,1.0981999999999994,19
571597,48h Hydration Creme-Gel,Weleda,Diverse,Naturkosmetik (BNN),30ml,7.592199999999999,1.2121999999999993,19
587180,age protect creme,SantaVerde,Diverse,Naturkosmetik (BNN),30ml,33.3319,5.321899999999996,19
587385,age protect serum,SantaVerde,Diverse,Naturkosmetik (BNN),30ml,33.3319,5.321899999999996,19
587181,age protect toner,SantaVerde,Diverse,Naturkosmetik (BNN),100ml,24.228399999999997,3.8683999999999976,19
587225,aloe vera creme light ohne Duft,SantaVerde,Diverse,Naturkosmetik (BNN),30ml,18.159399999999998,2.899399999999998,19
587224,aloe vera creme light,SantaVerde,Diverse,Naturkosmetik (BNN),30ml,18.159399999999998,2.899399999999998,19
587228,aloe vera creme medium ohne Duft,SantaVerde,Diverse,Naturkosmetik (BNN),30ml,18.159399999999998,2.899399999999998,19
587226,aloe vera creme medium,SantaVerde,Diverse,Naturkosmetik (BNN),30ml,18.159399999999998,2.899399999999998,19
587230,aloe vera creme rich ohne Duft,SantaVerde,Diverse,Naturkosmetik (BNN),30ml,18.159399999999998,2.899399999999998,19
587229,aloe vera creme rich,SantaVerde,Diverse,Naturkosmetik (BNN),30ml,18.159399999999998,2.899399999999998,19
571749,aloe vera creme sleep & repair,SantaVerde,Diverse,Naturkosmetik (BNN),30ml,20.944,3.3439999999999976,19
587232,aloe vera hydro repair gel mit Duft,SantaVerde,Diverse,Naturkosmetik (BNN),30ml,18.159399999999998,2.899399999999998,19
599105,aloe vera hydro repair gel ohne Duft,SantaVerde,Diverse,Naturkosmetik (BNN),30ml,18.159399999999998,2.899399999999998,19
587222,aloe vera toner classic,SantaVerde,Diverse,Naturkosmetik (BNN),100ml,15.112999999999998,2.4129999999999985,19
587223,aloe vera toner sensitive,SantaVerde,Diverse,Naturkosmetik (BNN),100ml,15.112999999999998,2.4129999999999985,19
570840,Anti-Falten Feuchtigkeitscreme Q10 basis sensitiv,Lavera,Diverse,Naturkosmetik (BNN),50ml,8.568,1.3679999999999994,19
693841,Anti-Falten Nachtcreme Q10 basis sensitiv,Lavera,Diverse,Naturkosmetik (BNN),50ml,9.2701,1.4800999999999993,19
571382,Anti-Falten Serum Blauer Enzian & Edelweiß,Weleda,Diverse,Naturkosmetik (BNN),30ml,17.790499999999998,2.8404999999999987,19
571066,Anti-Pigmentflecken Bright Serum,Weleda,Diverse,Naturkosmetik (BNN),30ml,18.3141,2.9240999999999993,19
571735,Barrier Balance 2-Phasen Mizellenwasser,Lavera,Diverse,Naturkosmetik (BNN),400ml,6.4855,1.0354999999999999,19
571739,Barrier Balance Augenpflege,Lavera,Diverse,Naturkosmetik (BNN),15ml,7.3304,1.1703999999999999,19
