ArtikelNr,Bezeichnung,Hersteller,Land,Qualitaet,Gebinde,PreisInklMwst,EntMwst,MwstSatz
280865,Allgäuer Emmentaler Heumilch in Scheib.BIOLAND 40%,Ökologische Molkerei Allgäu,Bayern,Bioland,8x150g,17.548,1.1479999999999997,7
280835,Allgäuer Tilsiter in Scheiben BIOLAND 40%,Ökologische Molkerei Allgäu,Bayern,Bioland,8x150g,17.6336,1.1536000000000008,7
289774,Allgäuer Zitronenpfefferkäse Heumilch BIOLAND50%Th,Gebrüder Baldauf,Deutschland,Bioland,3kg,57.234300000000005,3.7443000000000026,7
282498,Alpenstolz 10 Monate 50% - Theke,Vallee Verte,Österreich,100% Biozutaten,2kg,34.775,2.2749999999999986,7
576047,Artischockenherzen mariniert mit frischen Kräutern,Isana,Diverse,100% Biozutaten,4x150g,11.556000000000001,0.7560000000000002,7
282051,Bergkäse 4 Mon. DEMETER 50% - Theke,Ökologische Molkerei Allgäu,Deutschland,Demeter (Deutschland),3kg,47.187000000000005,3.0870000000000033,7
280875,Bergkäse in Scheiben BIOLAND 40%,Ökologische Molkerei Allgäu,Bayern,Bioland,8x150g,17.7192,1.159200000000002,7
270051,ESL Alpen-Vollmilch NATURLAND FAIR - Tetratop,Berchtesgadener Land,Diverse,NF,8x400ml,5.992,0.39200000000000035,7
76004,Frisches Pesto Bärlauch,Isana,Europäische Union,100% Biozutaten,6x165g,15.408000000000001,1.008000000000001,7
76001,Frisches Pesto Genovese,Isana,Diverse,100% Biozutaten,6x165g,15.408000000000001,1.008000000000001,7
76005,Frisches Pesto Pomodoro,Isana,Diverse,100% Biozutaten,6x165g,15.408000000000001,1.008000000000001,7
271483,Frucht- und Knusperjoghurt Erdbeere mit Schokokrin,Berchtesgadener Land,Diverse,NF,10x137g,8.56,0.5600000000000005,7
271482,Frucht- und Knusperjoghurt Vanille mit Schokolinse,Berchtesgadener Land,Diverse,NF,10x137g,8.56,0.5600000000000005,7
278290,Fruchtjoghurt Heidelbeer-Cassis BIOLAND,Andechser,Diverse,Bioland,6x500g,9.886800000000001,0.6468000000000007,7
7305,Fruchtjoghurt Mango-Vanille BIOLAND,Andechser,Diverse,Bioland,6x500g,9.886800000000001,0.6468000000000007,7
576041,Oliven-Mix entsteint,Isana,Diverse,100% Biozutaten,4x150g,11.556000000000001,0.7560000000000002,7
181205,Salamino al Tartufo ca.150g,ptn,Italien,100% Biozutaten,Stück,5.874300000000001,0.38430000000000053,7
181215,Salamino alla Noce ca.150g,ptn,Italien,100% Biozutaten,Stück,5.874300000000001,0.38430000000000053,7
181220,Salamino alla Salvia ca.150g,ptn,Italien,100% Biozutaten,Stück,5.874300000000001,0.38430000000000053,7
283355,Scamorzetti geräuchert 45%,Ökologische Molkerei Allgäu,Diverse,EG-Bio,6x150g,13.995600000000001,0.9156000000000013,7
275130,Schokoladen Milch NATURLAND FAIR,Berchtesgadener Land,Diverse,NF,8x250g,5.136,0.3360000000000003,7
576046,Tomaten sonnengetrocknet,Isana,Türkei,100% Biozutaten,4x130g,11.556000000000001,0.7560000000000002,7
282242,Uriger Allgäuer BIOLAND 50% - Theke,Schaukäserei Wiggensbach,Deutschland,Bioland,4kg,58.079600000000006,3.799600000000005,7
280645,Wanderzyt 8 Monate 53% - Theke,Vallee Verte,Schweiz,100% Biozutaten,"2,1kg",46.2882,3.0282000000000053,7
7048,"Weidemilch Joghurt mild BIOLAND 1,8%",Andechser,Bayern,Bioland,6x500g,7.8966,0.5166000000000004,7
7041,"Weidemilch Joghurt mild BIOLAND 3,8%",Andechser,Bayern,Bioland,6x500g,7.8966,0.5166000000000004,7
170844,Weiderind-Geschnetzeltes Gyros DEMETER WIR.,WIR. Bio Power Bodensee,Regional,Demeter (Deutschland),"0,4kg",9.8226,0.6425999999999998,7
170852,Weiderind-Hochrippensteak Kräuter WIR. 2St,WIR. Bio Power Bodensee,Regional,Demeter (Deutschland),"0,4kg",11.0852,0.725200000000001,7
170851,Weiderind-Hochripppensteak Paprika WIR. 2St,WIR. Bio Power Bodensee,Regional,Demeter (Deutschland),"0,4kg",11.0852,0.725200000000001,7
2745011,Fruchtjoghurt Erdbeere DEMETER - Becher,Schrozberger Milchbauern,Diverse,Demeter (Deutschland),150g,0.321,0.02100000000000002,7
2702021,Schlagsahne DEMETER 32% - Glas,Schrozberger Milchbauern,Baden-Württemberg,Demeter (Deutschland),250g,0.9309000000000001,0.060900000000000065,7
2717101,Weidemilch Vanillepudding BIOLAND,Söbbeke,Diverse,Bioland,150g,0.48150000000000004,0.03150000000000003,7
2763601,Ziegentopfen 40%,Leeb,Österreich,100% Biozutaten,150g,1.1663000000000001,0.07630000000000003,7
7002,Alpenmilch fettarm DEMETER - Flasche,Berchtesgadener Land,Bayern,Demeter (Deutschland),"6x1,0l",8.988000000000001,0.588000000000001,7
