ArtikelNr,Bezeichnung,Hersteller,Land,Qualitaet,Gebinde,PreisInklMwst,EntMwst,MwstSatz
31316,Apfel-Mangosaft DEMETER,Beutelsbacher,Diverse,Demeter (Deutschland),"6x0,7l",14.208599999999999,2.2685999999999993,19
31446,Apfel-Schorle naturtrüb DEMETER,Beutelsbacher,Diverse,Demeter (Deutschland),"12x0,33l",11.995199999999999,1.9151999999999987,19
539572,Appassimento Rosso Veronese IGT Collezione 2020,Peter Riegel Weinhandel,Italien,EG-Bio,"6x0,75l",64.1886,10.248599999999996,19
531040,Bio Secco Quitte Rose alkoholfrei,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",14.994,2.394,19
31448,Birnen-Schorle Birne rosé,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",13.565999999999999,2.1659999999999986,19
31447,Cassis-Schorle,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",14.28,2.2799999999999994,19
539304,Chardonnay Gens et Pierres 2025,Peter Riegel Weinhandel,Frankreich,EG-Bio,"6x0,75l",32.0586,5.118599999999997,19
531038,Coconut Paradise Mocktail,Beutelsbacher,Diverse,100% Biozutaten,"12x0,2l",14.994,2.394,19
685526,Energy Drink Limette Minze,Pure Bio,Österreich,99%,24x250ml,26.846399999999996,4.286399999999997,19
685527,Energy Drink Orange Pfirsich,Pure Bio,Österreich,97%,24x250ml,26.846399999999996,4.286399999999997,19
539694,Felipe Primitivo rosato Terre d´Abruzzo Lunaria DE,Peter Riegel Weinhandel,Italien,Demeter (Deutschland),"6x0,75l",38.199,6.098999999999997,19
539606,Funky Tonic Twist,Peter Riegel Weinhandel,Europäische Union,100% Biozutaten,"6x0,75l",21.3486,3.4086,19
539658,Gens et Pierres Chardonnay alkoholfrei,Peter Riegel Weinhandel,Frankreich,EG-Bio,"6x0,75l",32.0586,5.118599999999997,19
538102,Gens et Pierres Sud blanc IGP 2025,Peter Riegel Weinhandel,Frankreich,EG-Bio,"6x0,75l",27.060599999999997,4.320599999999999,19
38118,Gens et Pierres Sud-Sud rosé IGP 2025,Peter Riegel Weinhandel,Frankreich,EG-Bio,"6x0,75l",27.060599999999997,4.320599999999999,19
38119,Gens et Pierres Sud-Sud rouge IGP 2024,Peter Riegel Weinhandel,Frankreich,EG-Bio,"6x0,75l",27.060599999999997,4.320599999999999,19
532725,Immun Shot,Voelkel,Diverse,100% Biozutaten,"6x0,5l",21.3486,3.4086,19
539597,La Chapelle Saint Chinian Blanc AOC 2021,Peter Riegel Weinhandel,Frankreich,EG-Bio,"6x0,75l",54.9066,8.766599999999997,19
30525,Lammsbräu Hefeweizen dunkel alkoholfrei NATURLAND,Neumarkter,Bayern,Naturland,"10x0,5l",11.186,1.7859999999999996,19
530690,Lammsbräu Naturtrüb alkoholfrei NATURLAND,Neumarkter,Bayern,Naturland,"10x0,5l",11.186,1.7859999999999996,19
539691,"Limoni Spritz Aperitivo 5,8%Vol.",Peter Riegel Weinhandel,Europäische Union,98%,"6x0,75l",28.4886,4.5486,19
531039,Mango Passionsfruit Mocktail DEMETER,Beutelsbacher,Diverse,Demeter (Deutschland),"12x0,2l",14.994,2.394,19
539684,Merlot Gens et Pierres 2023,Peter Riegel Weinhandel,Frankreich,EG-Bio,"6x0,75l",32.0586,5.118599999999997,19
