ArtikelNr,Bezeichnung,Hersteller,Land,Qualitaet,Gebinde,PreisInklMwst,EntMwst,MwstSatz
32144,BioZisch Bitter Lemon,Voelkel,Diverse,100% Biozutaten,"12x0,33l",12.137999999999998,1.9379999999999988,19
32135,BioZisch Bitter Lemon,Voelkel,Diverse,100% Biozutaten,"6x0,7l",11.138399999999999,1.7783999999999995,19
32274,BioZisch Blutorange,Voelkel,Diverse,100% Biozutaten,"12x0,33l",12.137999999999998,1.9379999999999988,19
32134,BioZisch Blutorange,Voelkel,Diverse,100% Biozutaten,"6x0,7l",11.138399999999999,1.7783999999999995,19
32141,BioZisch Ginger Life,Voelkel,Diverse,100% Biozutaten,"12x0,33l",12.137999999999998,1.9379999999999988,19
32128,BioZisch Guarana-Cola,Voelkel,Diverse,100% Biozutaten,"12x0,33l",12.137999999999998,1.9379999999999988,19
32408,BioZisch Guarana-Cola,Voelkel,Diverse,100% Biozutaten,"6x0,7l",11.138399999999999,1.7783999999999995,19
32146,BioZisch Himbeer-Cassis,Voelkel,Diverse,100% Biozutaten,"12x0,33l",12.137999999999998,1.9379999999999988,19
32143,BioZisch Himbeer-Cassis,Voelkel,Diverse,100% Biozutaten,"6x0,7l",11.138399999999999,1.7783999999999995,19
532150,BioZisch Holunderblüte,Voelkel,Diverse,100% Biozutaten,"12x0,33l",12.137999999999998,1.9379999999999988,19
532675,BioZisch Light Mate Cola,Voelkel,Diverse,100% Biozutaten,"10x0,33l",11.781,1.8810000000000002,19
532713,BioZisch Matcha Grapefruit,Voelkel,Diverse,100% Biozutaten,"10x0,5l",15.350999999999999,2.4509999999999987,19
532712,BioZisch Matcha Mango,Voelkel,Diverse,100% Biozutaten,"10x0,5l",15.350999999999999,2.4509999999999987,19
532450,BioZisch Matcha,Voelkel,Diverse,100% Biozutaten,"12x0,33l",12.137999999999998,1.9379999999999988,19
532401,BioZisch Mate,Voelkel,Diverse,100% Biozutaten,"10x0,5l",13.565999999999999,2.1659999999999986,19
532138,BioZisch Mate,Voelkel,Diverse,100% Biozutaten,"12x0,33l",12.137999999999998,1.9379999999999988,19
32152,BioZisch Orange,Voelkel,Diverse,100% Biozutaten,"12x0,33l",12.137999999999998,1.9379999999999988,19
32136,BioZisch Orange,Voelkel,Diverse,100% Biozutaten,"6x0,7l",11.138399999999999,1.7783999999999995,19
32405,BioZisch Rhabarber,Voelkel,Diverse,100% Biozutaten,"12x0,33l",12.137999999999998,1.9379999999999988,19
32404,BioZisch Rhabarber,Voelkel,Diverse,100% Biozutaten,"6x0,7l",11.138399999999999,1.7783999999999995,19
532402,BioZisch Rosenblüte,Voelkel,Diverse,100% Biozutaten,"12x0,33l",12.137999999999998,1.9379999999999988,19
32409,BioZisch Rosenblüte,Voelkel,Diverse,100% Biozutaten,"6x0,7l",11.138399999999999,1.7783999999999995,19
532453,BioZisch Zitrone naturtrüb,Voelkel,Diverse,100% Biozutaten,"12x0,33l",12.137999999999998,1.9379999999999988,19
32139,BioZisch Zitrone,Voelkel,Diverse,100% Biozutaten,"6x0,7l",11.138399999999999,1.7783999999999995,19
533360,ChariTea Black,Chari Tea,Diverse,100% Biozutaten,"20x0,33l",30.939999999999998,4.939999999999998,19
533361,ChariTea Green,Chari Tea,Diverse,100% Biozutaten,"20x0,33l",30.939999999999998,4.939999999999998,19
533364,ChariTea Mate Ginger sugar free,Chari Tea,Diverse,100% Biozutaten,"20x0,33l",30.939999999999998,4.939999999999998,19
533362,ChariTea Mate,Chari Tea,Diverse,100% Biozutaten,"20x0,33l",30.939999999999998,4.939999999999998,19
533363,ChariTea Red,Chari Tea,Diverse,100% Biozutaten,"20x0,33l",30.939999999999998,4.939999999999998,19
31460,isis Alpentee,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",9.282,1.4820000000000002,19
531467,isis Alpentee,Beutelsbacher,Diverse,100% Biozutaten,"6x0,7l",7.497,1.197,19
531453,isis bio Wildkräuter,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",9.282,1.4820000000000002,19
31458,isis Bitter-Lemon,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",9.282,1.4820000000000002,19
531463,isis Cola-Orange,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",9.282,1.4820000000000002,19
31462,isis Cola,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",9.282,1.4820000000000002,19
531465,isis Ginger Ale,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",14.1372,2.257199999999999,19
31456,isis Granatapfel,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",9.282,1.4820000000000002,19
31461,isis Grüner Eistee,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",9.282,1.4820000000000002,19
531466,isis Grüner Eistee,Beutelsbacher,Diverse,100% Biozutaten,"6x0,7l",7.497,1.197,19
531454,isis Holunder Himbeere,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",9.282,1.4820000000000002,19
31457,isis Holunderblüte,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",9.282,1.4820000000000002,19
31459,isis Orange-Acerola,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",9.282,1.4820000000000002,19
531468,isis Tonic,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",9.282,1.4820000000000002,19
531464,isis Zitrone,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",9.282,1.4820000000000002,19
533350,Lemonaid Blutorange,Lemonaid,Diverse,100% Biozutaten,"20x0,33l",30.939999999999998,4.939999999999998,19
533351,Lemonaid Ingwer,Lemonaid,Diverse,100% Biozutaten,"20x0,33l",30.939999999999998,4.939999999999998,19
533352,Lemonaid Limette,Lemonaid,Diverse,100% Biozutaten,"20x0,33l",30.939999999999998,4.939999999999998,19
533353,Lemonaid Maracuja,Lemonaid,Diverse,100% Biozutaten,"20x0,33l",30.939999999999998,4.939999999999998,19
531472,MISCHKISTE Beutelsbacher isis mit Huober Brezeln,Beutelsbacher,Diverse,100% Biozutaten,Kiste,9.282,1.4820000000000002,19
630142,NOW Bio Sprizzz Apfelschorle,Now,Diverse,100% Biozutaten,"10x0,5l",12.376,1.975999999999999,19
630141,NOW Bio Sprizzz Cassis Lime NATURLAND,Now,Diverse,Naturland,"10x0,5l",12.376,1.975999999999999,19
630143,NOW Bio Sprizzz Rhabarber,Now,Deutschland,100% Biozutaten,"10x0,5l",12.376,1.975999999999999,19
530692,NOW Black Cola light NATURLAND FAIR,Now,Diverse,NF,"10x0,33l",9.52,1.5199999999999996,19
30610,NOW Black Cola mit Guarana glutenfrei NATURLAND,Now,Diverse,Naturland,"10x0,33l",9.52,1.5199999999999996,19
630130,NOW Black Cola mit Guarana glutenfrei NATURLAND,Now,Diverse,Naturland,"10x0,5l",12.376,1.975999999999999,19
30613,NOW Fresh Lemon glutenfrei NATURLAND,Now,Diverse,Naturland,"10x0,33l",9.52,1.5199999999999996,19
630131,NOW Fresh Lemon glutenfrei NATURLAND,Now,Diverse,Naturland,"10x0,5l",12.376,1.975999999999999,19
530617,NOW Grapefruit glutenfrei,Now,Diverse,100% Biozutaten,"10x0,33l",9.52,1.5199999999999996,19
530627,NOW Hollerblüte glutenfrei NATURLAND,Now,Diverse,Naturland,"10x0,33l",9.52,1.5199999999999996,19
630134,NOW Hollerblüte glutenfrei NATURLAND,Now,Diverse,Naturland,"10x0,5l",12.376,1.975999999999999,19
630139,NOW Mate Granate,Now,Diverse,100% Biozutaten,"10x0,5l",12.376,1.975999999999999,19
630133,NOW Orange Cola glutenfrei NATURLAND,Now,Diverse,Naturland,"10x0,5l",12.376,1.975999999999999,19
30616,NOW Orange-Cola glutenfrei NATURLAND,Now,Diverse,Naturland,"10x0,33l",9.52,1.5199999999999996,19
530689,NOW Passion Crush,Now,Diverse,100% Biozutaten,"10x0,33l",9.52,1.5199999999999996,19
630135,NOW Pure Zitrone glutenfrei NATURLAND,Now,Diverse,Naturland,"10x0,5l",12.376,1.975999999999999,19
30615,NOW Red Berry glutenfrei,Now,Diverse,100% Biozutaten,"10x0,33l",9.52,1.5199999999999996,19
30614,NOW Sunny Orange glutenfrei NATURLAND,Now,Diverse,Naturland,"10x0,33l",9.52,1.5199999999999996,19
630132,NOW Sunny Orange glutenfrei NATURLAND,Now,Diverse,Naturland,"10x0,5l",12.376,1.975999999999999,19
533283,Organic Ginger Beer,Aqua Monaco,Diverse,99%,"20x0,23l",35.699999999999996,5.699999999999996,19
533281,Organic Herbal Tonic,Aqua Monaco,Diverse,100% Biozutaten,"20x0,23l",35.699999999999996,5.699999999999996,19
533282,Organic Tonic Water,Aqua Monaco,Diverse,99%,"20x0,23l",35.699999999999996,5.699999999999996,19
531994,Proviant Orangenlimo,Proviant,Diverse,100% Biozutaten,"24x0,33l",27.131999999999998,4.331999999999997,19
533302,Adelholzener Apfel-Orange mit Maracuja - PET,Adelholzener,Diverse,96%,"12x0,5l",9.4248,1.5047999999999995,19
533300,Adelholzener Apfel-Schorle NATURLAND - PET,Adelholzener,Deutschland,Naturland,"12x0,5l",9.4248,1.5047999999999995,19
533304,Adelholzener Johannisbeere - PET,Adelholzener,Diverse,99%,"12x0,5l",9.4248,1.5047999999999995,19
533303,Adelholzener Kirsche - PET,Adelholzener,Diverse,99%,"12x0,5l",9.4248,1.5047999999999995,19
533305,Adelholzener Lemon - PET,Adelholzener,Diverse,99%,"12x0,5l",9.4248,1.5047999999999995,19
32243,Apfel Schorle naturtrüb DEMETER,Voelkel,Europäische Union,Demeter (Deutschland),"10x0,5l",11.781,1.8810000000000002,19
532059,Apfel-Grapefruit Schorle,Voelkel,Europäische Union,100% Biozutaten,"10x0,5l",13.803999999999998,2.203999999999999,19
32242,Apfel-Waldbeeren Schorle DEMETER,Voelkel,Europäische Union,Demeter (Deutschland),"10x0,5l",13.803999999999998,2.203999999999999,19
698440,Barista Chai Classic - TetraPak,Yogi Tea,Diverse,99%,6x1l,22.3416,1.4616000000000007,7
531040,Bio Secco Quitte Rose alkoholfrei,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",14.994,2.394,19
532670,BioZisch Light Himbeer Cassis,Voelkel,Diverse,100% Biozutaten,"10x0,33l",11.781,1.8810000000000002,19
532674,BioZisch Light Orange Maracuja,Voelkel,Diverse,100% Biozutaten,"10x0,33l",11.781,1.8810000000000002,19
532671,BioZisch Light Zitrone,Voelkel,Diverse,100% Biozutaten,"10x0,33l",11.781,1.8810000000000002,19
532673,BioZisch Zero Mate,Voelkel,Diverse,100% Biozutaten,"10x0,33l",11.781,1.8810000000000002,19
532654,Caipirinha - alkoholfreier Cocktail,Voelkel,Diverse,100% Biozutaten,"12x0,2l",23.4192,3.7392000000000003,19
699776,Coco Sports Performance,Dr.  Antonio Martins,Sri Lanka-Ceylon,100% Biozutaten,12x500ml,24.99,3.9899999999999984,19
699775,Coco Sports Rehydration,Dr.  Antonio Martins,Sri Lanka-Ceylon,100% Biozutaten,12x500ml,24.99,3.9899999999999984,19
532469,Eistee Himbeer-Hibiskus DEMETER,Voelkel,Diverse,Demeter (Deutschland),"12x0,33l",12.852,2.0519999999999996,19
532466,Eistee mit Himbeere & Hibiskus DEMETER,Voelkel,Diverse,Demeter (Deutschland),"10x0,5l",14.756,2.356,19
532465,Eistee mit Matcha DEMETER,Voelkel,Diverse,Demeter (Deutschland),"10x0,5l",14.756,2.356,19
532467,Eistee mit Mate & Zitrone DEMETER,Voelkel,Diverse,Demeter (Deutschland),"10x0,5l",14.756,2.356,19
532464,Eistee Pfirsich Zitrone DEMETER,Voelkel,Diverse,Demeter (Deutschland),"10x0,5l",14.756,2.356,19
532468,Eistee Pfirsich-Zitrone DEMETER,Voelkel,Diverse,Demeter (Deutschland),"12x0,33l",12.852,2.0519999999999996,19
701860,Eistee Pfirsich,Bio Company,Diverse,99%,12x500ml,9.8532,1.5732,19
701861,Eistee Zitrone,Bio Company,Diverse,99%,12x500ml,9.8532,1.5732,19
533555,LandparTEA Pfirsich,Landpark,Deutschland,100% Biozutaten,"12x0,5l",10.1388,1.6188000000000002,19
533556,LandparTEA Zitrone,Landpark,Deutschland,100% Biozutaten,"12x0,5l",10.1388,1.6188000000000002,19
532658,London Mule Spritz - alkoholfreier Cocktail,Voelkel,Diverse,100% Biozutaten,"12x0,2l",23.2764,3.7164,19
532657,Orange Bitter Spritz-alkoholfreier Cocktai,Voelkel,Diverse,100% Biozutaten,"12x0,2l",23.4192,3.7392000000000003,19
30705,Orangensaft,Green organics,Europäische Union,EG-Bio,"6x0,7l",16.3506,2.6106,19
701862,Orangensaft,Bio Company,Diverse,EG-Bio,8x750ml,19.04,3.039999999999999,19
532656,Pina Colada - alkoholfreier Cocktail,Voelkel,Diverse,100% Biozutaten,"12x0,2l",23.4192,3.7392000000000003,19
532234,Rhabarber Schorle DEMETER,Voelkel,Diverse,Demeter (Deutschland),"10x0,5l",13.803999999999998,2.203999999999999,19
530054,SeeZüngle Aronia BIOLAND,Seezüngle - Brauerei Härle,Deutschland,Bioland,"11x0,33l",9.817499999999999,1.567499999999999,19
30056,SeeZüngle Birne BIOLAND,Seezüngle - Brauerei Härle,Deutschland,Bioland,"11x0,33l",9.817499999999999,1.567499999999999,19
30055,SeeZüngle Kirsche BIOLAND,Seezüngle - Brauerei Härle,Deutschland,Bioland,"11x0,33l",9.817499999999999,1.567499999999999,19
530058,SeeZüngle Rhabarber BIOLAND,Seezüngle - Brauerei Härle,Deutschland,Bioland,"11x0,33l",9.817499999999999,1.567499999999999,19
30057,SeeZüngle Träuble -Johannisbeere schwarz BIOLAND,Seezüngle - Brauerei Härle,Deutschland,Bioland,"11x0,33l",9.817499999999999,1.567499999999999,19
696082,Wassereisbeutel Fredos coole Lollies bunt,Sanchon,Deutschland,95%,14x10x30ml,33.1534,5.293399999999998,19
696083,Wassereisbeutel Fredos coole Lollies fruchtig,Sanchon,Deutschland,95%,14x10x30ml,34.986,5.5859999999999985,19
680222,Kokosmilch 100%,Dr. Goerg,Philippinen,EG-Bio,16x200ML,20.544,1.3440000000000012,7
530761,Kokoswasser Ananas in der Einweg-Glasflasche,Morgenland,Sri Lanka-Ceylon,100% Biozutaten,6x350ml,12.7092,2.0291999999999994,19
701850,Kokoswasser aus Kokoswasserkonzentrat,Bio Company,Philippinen,EG-Bio,15x330ml,18.921,3.020999999999999,19
699279,Kokoswasser aus Konzentrat,Aqua Verde,Philippinen,EG-Bio,15x330ml,18.7425,2.9924999999999997,19
699278,Kokoswasser aus Konzentrat,Aqua Verde,Philippinen,EG-Bio,6x1l,16.064999999999998,2.5649999999999977,19
530760,Kokoswasser in der Einweg-Glasflasche,Morgenland,Sri Lanka-Ceylon,EG-Bio,6x350ml,12.7092,2.0291999999999994,19
699124,Kokoswasser pur FairTrade,Dr.  Antonio Martins,Sri Lanka-Ceylon,EG-Bio,15x330ml,23.383499999999998,3.7334999999999994,19
686606,Kokoswasser pur FairTrade,Dr.  Antonio Martins,Sri Lanka-Ceylon,EG-Bio,"6x1,0l",21.4914,3.4314,19
699117,Kokoswasser Pur,Dr.  Antonio Martins,Sri Lanka-Ceylon,EG-Bio,12x500ml,31.415999999999997,5.015999999999998,19
699116,Kokoswasser Pur,Dr.  Antonio Martins,Sri Lanka-Ceylon,EG-Bio,6x1l,27.845999999999997,4.445999999999998,19
530751,Kokoswasser PURE,Kulau,Philippinen,EG-Bio,"12x1,0l",48.4092,7.729199999999999,19
530750,Kokoswasser PURE,Kulau,Philippinen,EG-Bio,12x330ML,22.276799999999998,3.556799999999999,19
680221,Kokoswasser,Dr. Goerg,Philippinen,EG-Bio,15x330ml,24.99,3.9899999999999984,19
530747,Kokoswasser,Dr. Goerg,Philippinen,EG-Bio,6x1l,24.275999999999996,3.8759999999999977,19
531532,365 Daily Energydrink Mate,EOS,Diverse,100% Biozutaten,"12x0,33l",13.423199999999998,2.1431999999999984,19
531531,365 Daily Energydrink,EOS,Diverse,100% Biozutaten,"12x0,33l",13.423199999999998,2.1431999999999984,19
699777,Coco Energy Drink,Dr.  Antonio Martins,Sri Lanka-Ceylon,100% Biozutaten,15x330ml,27.845999999999997,4.445999999999998,19
685526,Energy Drink Limette Minze,Pure Bio,Österreich,99%,24x250ml,26.846399999999996,4.286399999999997,19
685527,Energy Drink Orange Pfirsich,Pure Bio,Österreich,97%,24x250ml,26.846399999999996,4.286399999999997,19
532709,Good Energy Club Goods,Voelkel,Diverse,99%,"10x0,33l",17.612,2.8119999999999976,19
30485,"Kombucha 0,5%Vol",Voelkel,Diverse,100% Biozutaten,"6x0,75l",18.0642,2.8842,19
531476,Kombucha Cassis,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",20.705999999999996,3.3059999999999974,19
531477,Kombucha Classic,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",20.705999999999996,3.3059999999999974,19
30481,"Kombucha Enzymgetränk 1,5%Vol.",Beutelsbacher,Diverse,100% Biozutaten,"6x0,75l",19.278,3.0779999999999994,19
532071,Kombucha Limette & Ingwer,Voelkel,Diverse,100% Biozutaten,"10x0,33l",14.517999999999999,2.3179999999999996,19
532068,Kombucha Limette & Ingwer,Voelkel,Diverse,100% Biozutaten,"6x0,75l",18.0642,2.8842,19
532069,Kombucha Maracuja & Zitrone,Voelkel,Diverse,100% Biozutaten,"10x0,33l",14.517999999999999,2.3179999999999996,19
532070,Kombucha Original,Voelkel,Diverse,100% Biozutaten,"10x0,33l",14.517999999999999,2.3179999999999996,19
532072,Kombucha Sauerkirsche & Minze,Voelkel,Diverse,100% Biozutaten,"10x0,33l",14.517999999999999,2.3179999999999996,19
531478,RAW Kombucha,Beutelsbacher,Diverse,100% Biozutaten,"12x0,33l",21.5628,3.4427999999999983,19
533574,WAYSA Black Kola 99mg Koffein,Waysa,Diverse,100% Biozutaten,"24x0,33l",25.1328,4.012799999999999,19
533570,WAYSA Green Original 99mg Koffein,Waysa,Diverse,100% Biozutaten,"24x0,33l",25.1328,4.012799999999999,19
533573,WAYSA Pink Peach 99mg Koffein,Waysa,Diverse,100% Biozutaten,"24x0,33l",25.1328,4.012799999999999,19
533571,WAYSA White Apple 42mg Koffein,Waysa,Diverse,100% Biozutaten,"24x0,33l",25.1328,4.012799999999999,19
574071,Agava Karamellsirup - Spenderflasche,Agava,Diverse,100% Biozutaten,6x350g,20.223,1.3230000000000004,7
699922,Apfelzauber Punsch Sirup,Sonnentor,Diverse,100% Biozutaten,6x500ml,39.99660000000001,2.6166000000000054,7
531931,Ben's Ginger Ingwerkonzentrat,Ben's Ginger,Diverse,100% Biozutaten,"6x0,5l",41.6658,2.7257999999999996,7
531930,Ben's Ginger Ingwerkonzentrat,Ben's Ginger,Diverse,100% Biozutaten,6x1l,70.299,4.599000000000004,7
699741,Bergamotte Sirup,Sonnentor,Diverse,100% Biozutaten,6x500ml,38.96940000000001,2.5494000000000057,7
32416,Cassissirup,Voelkel,Diverse,100% Biozutaten,"6x0,5l",23.6256,1.5456000000000003,7
635547,Chai Sirup,Sonnentor,Diverse,100% Biozutaten,6x250ml,33.705000000000005,2.2050000000000054,7
685455,Eistee Sirup Grüntee Holunder,Bio Gourmet,Europäische Union,100% Biozutaten,6x500ml,43.977000000000004,2.8770000000000024,7
685453,Eistee Sirup Schwarztee Pfirsich,Bio Gourmet,Europäische Union,100% Biozutaten,6x500ml,43.977000000000004,2.8770000000000024,7
685454,Eistee Sirup Schwarztee Zitrone,Bio Gourmet,Europäische Union,100% Biozutaten,6x500ml,43.977000000000004,2.8770000000000024,7
32414,Grenadinesirup,Voelkel,Diverse,100% Biozutaten,"6x0,5l",23.6256,1.5456000000000003,7
32415,Himbeersirup,Voelkel,Diverse,100% Biozutaten,"6x0,5l",26.129400000000004,1.7094000000000023,7
33050,Himbeersirup,Sonnentor,Diverse,100% Biozutaten,"6x0,5l",39.99660000000001,2.6166000000000054,7
699921,Holunder Trauben Punsch Sirup,Sonnentor,Diverse,100% Biozutaten,6x500ml,39.99660000000001,2.6166000000000054,7
32419,Holunderblütensirup,Voelkel,Diverse,100% Biozutaten,"6x0,5l",23.6256,1.5456000000000003,7
33056,Holunderblütensirup,Sonnentor,Diverse,100% Biozutaten,"6x0,5l",39.99660000000001,2.6166000000000054,7
532499,Ingwer Sirup DEMETER,Voelkel,Diverse,Demeter (Deutschland),"6x0,5l",26.129400000000004,1.7094000000000023,7
33054,Ingwer-Zitronensirup,Sonnentor,Diverse,100% Biozutaten,"6x0,5l",39.99660000000001,2.6166000000000054,7
699012,Kola Sirup,Sonnentor,Diverse,100% Biozutaten,6x500ml,39.99660000000001,2.6166000000000054,7
699198,Kräuterjodler Sirup,Sonnentor,Diverse,100% Biozutaten,6x500ml,39.99660000000001,2.6166000000000054,7
635548,Kurkuma Zitronen Sirup,Sonnentor,Diverse,100% Biozutaten,6x500ml,39.99660000000001,2.6166000000000054,7
32418,Limettensirup,Voelkel,Diverse,100% Biozutaten,"6x0,5l",23.6256,1.5456000000000003,7
699490,Matcha Sirup,Sonnentor,Diverse,100% Biozutaten,6x250ml,39.99660000000001,2.6166000000000054,7
699199,Mojito Sirup,Sonnentor,Diverse,100% Biozutaten,6x500ml,39.99660000000001,2.6166000000000054,7
638609,Mondino Senza Amaro Bavarese alkoholfrei,Brennerei Schnitzer,Diverse,100% Biozutaten,"0,675l",11.0075,1.7575000000000003,19
699742,Orange Bitter Sirup,Sonnentor,Diverse,100% Biozutaten,6x500ml,38.96940000000001,2.5494000000000057,7
685258,Pumpkin Spice Sirup,Sonnentor,Diverse,100% Biozutaten,6x250ml,33.705000000000005,2.2050000000000054,7
532379,Rhabarbersirup,Voelkel,Diverse,100% Biozutaten,"6x0,5l",23.6256,1.5456000000000003,7
635550,Schwarztee-Pfirsich Sirup,Sonnentor,Diverse,100% Biozutaten,"6x0,5l",39.99660000000001,2.6166000000000054,7
685259,Tschin Tschin Sirup,Sonnentor,Diverse,100% Biozutaten,6x500ml,39.99660000000001,2.6166000000000054,7
32239,Vollfrucht Sanddorn - Fruchtzubereitung,Voelkel,Diverse,100% Biozutaten,"6x0,5l",32.3568,2.1168000000000013,7
699200,Wilde Lilli Sirup,Sonnentor,Diverse,100% Biozutaten,6x500ml,39.99660000000001,2.6166000000000054,7
533420,Acerolasaft naturtrüb,Schoenenberger,Diverse,EG-Bio,200ml,7.3661,1.1761,19
533190,Alles Gute Fruchtsaftmischung,Rabenhorst,Diverse,100% Biozutaten,"6x0,75l",32.0586,5.118599999999997,19
532750,Ananassaft,Voelkel,Diverse,EG-Bio,"8x0,5l",27.417599999999997,4.3775999999999975,19
533178,Antioxidantien,Rabenhorst,Diverse,100% Biozutaten,"6x0,75l",22.0626,3.5226000000000006,19
31203,Apfel-Birnensaft naturtrüb,Bodensee-Kelterei Widemann,Regional,100% Biozutaten,"6x1,0l",11.781,1.8810000000000002,19
533526,Apfel-Kirschsaft mit stillem Wasser Tetra Pak,Höllinger Säfte,Diverse,100% Biozutaten,"24x0,2l",17.9928,2.8728,19
532748,Apfelsaft heimisch naturtrüb m. Streuobst BIOLAND,Voelkel,Deutschland,Bioland,"6x0,7l",12.5664,2.0063999999999993,19
532747,Apfelsaft heimisch naturtrüb m. Streuobst BIOLAND,Voelkel,Deutschland,Bioland,"6x1,0l",14.7084,2.3484,19
532749,Apfelsaft heimisch naturtrüb m. Streuobst BIOLAND,Voelkel,Deutschland,Bioland,"8x0,5l",13.708799999999998,2.1887999999999987,19
533525,Apfelsaft mit stillem Wasser Tetra Pak,Höllinger Säfte,Europäische Union,100% Biozutaten,"24x0,2l",17.9928,2.8728,19
31054,Apfelsaft naturtrüb aus Bio-Streuobst,Beutelsbacher,Baden-Württemberg,EG-Bio,"6x1,0l",11.7096,1.8696000000000002,19
532315,Apfelsaft naturtrüb aus dt. Anbau DEMETER - Elopak,Voelkel,Deutschland,Demeter (Deutschland),"6x1,0l",14.994,2.394,19
531103,Apfelsaft naturtrüb aus zertifiziertem Streuobst,Beutelsbacher,Baden-Württemberg,WILD,"6x1,0l",9.2106,1.4705999999999992,19
31100,Apfelsaft naturtrüb DEMETER,Beutelsbacher,Baden-Württemberg,Demeter (Deutschland),"6x1,0l",12.137999999999998,1.9379999999999988,19
31202,Apfelsaft naturtrüb,Bodensee-Kelterei Widemann,Regional,EG-Bio,"6x1,0l",11.781,1.8810000000000002,19
630180,"Apfelsaft vom Bodensee, naturtrüb DEMETER",Obsthof Brugger,Regional,Demeter (Deutschland),"6x1,0l",12.0666,1.9265999999999988,19
533240,Aronia-Früchtepunsch,Aronia Original,Diverse,100% Biozutaten,"6x0,7l",21.063,3.3629999999999995,19
533224,Aroniabeeren-Direktsaft - BagInBox,Aronia Original,Polen,EG-Bio,3l,19.0281,3.0380999999999982,19
533226,Aroniabeeren-Direktsaft,Aronia Original,Polen,EG-Bio,"6x0,7l",32.4156,5.175599999999999,19
533227,Aroniabeeren-Granatapfel-Saft,Aronia Original,Diverse,100% Biozutaten,"6x0,7l",37.770599999999995,6.030599999999996,19
533228,Aroniabeerensaft Direktsaft DEMETER - BagInBox,Aronia Original,Polen,Demeter (Deutschland),3l,19.456500000000002,3.1065000000000005,19
533219,Aroniabeerensaft Direktsaft DEMETER,Aronia Original,Polen,Demeter (Deutschland),"12x0,33l",41.697599999999994,6.657599999999995,19
635656,Bodensee Apfelsaft - BagInBox,Bodensee Biobauern,Regional,Demeter (Deutschland),5l,10.6505,1.7005,19
635655,Bodensee Apfelsaft,Bodensee Biobauern,Baden-Württemberg,Demeter (Deutschland),"6x1,0l",12.852,2.0519999999999996,19
532586,Familien Punsch,Voelkel,Diverse,100% Biozutaten,"6x0,75l",18.207,2.907,19
532952,Für das Immunsystem,Rabenhorst,Diverse,100% Biozutaten,"6x0,75l",22.5624,3.6023999999999994,19
532752,Grapefruitsaft,Voelkel,Diverse,EG-Bio,"8x0,5l",20.848799999999997,3.3287999999999975,19
532956,Heißer Horst,Rabenhorst,Diverse,100% Biozutaten,"6x0,75l",20.491799999999998,3.271799999999999,19
33087,Heißer Rabe,Rabenhorst,Diverse,100% Biozutaten,"6x0,75l",20.491799999999998,3.271799999999999,19
