Kategorie,ArtikelNr,Bezeichnung,Hersteller,Land,Qualitaet,Gebinde,PreisInklMwst,EntMwst,MwstSatz
Drogerie Kosmetik Nonfood,37100,Bechermalve,Bingenheimer Saatgut,Europäische Union,Demeter (Deutschland),5Tüten,7.7755,1.1495,7
Drogerie Kosmetik Nonfood,37102,Bunte Wucherblume,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37103,Calendula,Bingenheimer Saatgut,Europäische Union,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37104,Cosmea,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37105,Jungfer im Grünen,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37106,Kapuzinerkresse,Bingenheimer Saatgut,Europäische Union,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37107,Kornblume,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,7.7755,1.1495,7
Drogerie Kosmetik Nonfood,37108,Lanzenrittersporn,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37109,Prachtwinde,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37110,Schleierkraut,Bingenheimer Saatgut,Europäische Union,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37111,Sommeraster,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37112,Sonnenblume La Torre,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37113,Tagetes,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37114,Edelwicke,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37115,Blumenmischung Sommerpracht,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37116,Klatschmohn,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,7.7755,1.1495,7
Drogerie Kosmetik Nonfood,37118,Kletterlöwenmäulchen,Bingenheimer Saatgut,Europäische Union,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37119,Goldmohn,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37121,Blumenmischung Essbare Blüten,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37122,Sonnenblume Velvet Queen,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37123,Roter Lein Linum grandiflorum,Bingenheimer Saatgut,Europäische Union,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37125,Ostergras Sommergerste Pirona,Bingenheimer Saatgut,Europäische Union,Demeter (Deutschland),5Tüten,7.7755,1.1495,7
Drogerie Kosmetik Nonfood,37128,Prunkbohne Preisgewinner,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37130,Phacelie Bienenfreund,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37132,Weißkohl Dottenfelder Dauer,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37133,Möhre Robila bioverita,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37134,Möhren Milan bioverita,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37135,Paprika Pantos bioverita,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37137,Spinat Verdil bioverita,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37140,Buschbohne Saxa,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
