"ArtikelNr","Bezeichnung","Hersteller","Land","Qualitaet","Gebinde","PreisInklMwst","EntMwst","MwstSatz"
"7092","H-Schokomilch","Green organics","Deutschland","99%","12x0,5l","16.502","0.9996","7"
"7136","H-Alpenmilch fettarm NATURLAND FAIR","Berchtesgadener Land","Bayern","NF","12x1,0l","17.4727","1.0584","7"
"7137","H-Alpen-Vollmilch NATURLAND FAIR","Berchtesgadener Land","Bayern","NF","12x1,0l","18.8594","1.1424","7"
"7408","H-Vollmilch 3,5% BIOLAND","Schwarzwaldmilch","Baden-Württemberg","Bioland","12x1,0l","21.9102","1.3272","7"
"7409","H-Milch fettarm 1,5% BIOLAND","Schwarzwaldmilch","Baden-Württemberg","Bioland","12x1,0l","21.2168","1.2852","7"
"15000","Aufstrich Thunfisch-Oliven-Pastete - Glas","Pan do Mar","Spanien","S#","6x125g","15.1846","0.9198","7"
"15001","Sardinenfilets in Bio-Olivenöl","Pan do Mar","Spanien","S#","10x120g","38.0192","2.303","7"
"15004","Makrelenfilets in Bio-Tomatensauce","Pan do Mar","Spanien","S#","10x120g","38.0192","2.303","7"
"15006","Aufstrich Makrelen-Paprika-Pastete - Glas","Pan do Mar","Spanien","S#","6x125g","15.8779","0.9618","7"
"15009","Sardinen klein in Bio-Olivenöl","Pan do Mar","Spanien","S#","10x120g","25.3076","1.533","7"
"15012","Tintenfischstücke in Bio-Olivenöl","Pan do Mar","Spanien","S#","10x120g","31.0856","1.883","7"
"15013","Thunfisch hell in Bio-Olivenöl","Pan do Mar","Spanien","S#","10x120g","29.4678","1.785","7"
"15018","Aufstrich Sardinen-Petersilie-Pastete - Glas","Pan do Mar","Spanien","S#","6x125g","15.8779","0.9618","7"
"15019","Miesmuscheln in Bio-Marinade","Pan do Mar","Spanien","S#","10x115g","34.5524","2.093","7"
"15020","Tintenfischstücke in galizischer Bio-Sauce","Pan do Mar","Spanien","S#","10x120g","31.0856","1.883","7"
"15031","Thunfisch weiß in Bio-Olivenöl - Glas","Pan do Mar","Diverse","S#","6x220g","41.5323","2.5158","7"
"15032","Makrelenfilets in Tomaten-Curry-Creme","Fontaine","Diverse","S#","10x125g","22.4186","1.358","7"
"15034","Sardinen mit Haut & Gräten in Bio-Olivenöll","Fontaine","Spanien","S#","10x120g","26.4632","1.603","7"
"15036","Makrelenfilets ohne Haut & Gräten","Fontaine","Diverse","S#","10x120g","23.6898","1.435","7"
"15038","Heringsplatte mit Gemüse","Fontaine","Diverse","S#","6x200g","15.1846","0.9198","7"
"15039","Bratheringsfilets in Bio-Marinade","Fontaine","Diverse","S#","6x325g","20.7315","1.2558","7"
"15041","Sardellenfilets in Bio-Olivenöl","Pan do Mar","Spanien","S#","10x50g","32.2412","1.953","7"
"15049","Sardinen ohne Haut & Gräten in Bio-SB-Öl","Fontaine","Spanien","S#","10x120g","25.3076","1.533","7"
"15050","Zarte Heringsfilets in Bio-Tomatencreme","Fontaine","Diverse","S#","6x200g","15.1846","0.9198","7"
"15051","Thunfisch in Bio-Sonnenblumenöl","Pan do Mar","Spanien","S#","10x120g","26.001","1.575","7"
"15053","Thunfisch hell in Bio-SB-Öl","Fontaine","Spanien","S#","10x120g","27.2722","1.652","7"
"15054","Thunfisch hell in Bio-Olivenöl","Fontaine","Spanien","S#","10x120g","28.7744","1.743","7"
"15075","Thunfischsalat Texas","Fontaine","Diverse","S#","8x200g","27.642","1.6744","7"
"15076","Thunfischsalat Asia","Fontaine","Diverse","S#","8x200g","27.642","1.6744","7"
"15083","Bücklingsfilets in Bio-SB-Öl","Fontaine","Diverse","S#","6x190g","16.6406","1.008","7"
"15084","Thunfisch hell naturell","Fontaine","Spanien","S#","10x120g","26.5788","1.61","7"
"15090","Propolistropfen 80%Vol.","Sonnentor","Diverse","100% Biozutaten","6x20ml","46.5938","2.8224","19"
"15115","Zwiebelschmelz","Zwergenwiese","Deutschland","100% Biozutaten","6x150g","14.9766","0.9072","7"
"15118","Aufstrich Nuss-Paprika glutenfrei","Zwergenwiese","Diverse","100% Biozutaten","6x200g","13.1738","0.798","7"
"15280","Aprikosenkonfitüre extra","Maintal","Diverse","99%","6x225g","15.8779","0.9618","7"
"15281","Erdbeerkonfitüre extra","Maintal","Diverse","99%","6x225g","15.8779","0.9618","7"
"15282","Hagebuttenkonfitüre extra","Maintal","Diverse","99%","6x225g","14.6299","0.8862","7"
"15283","Himbeerkonfitüre extra","Maintal","Diverse","99%","6x225g","15.8779","0.9618","7"
"15284","Orangenmarmelade","Maintal","Diverse","99%","6x225g","14.6299","0.8862","7"
"15285","Sauerkirschkonfitüre extra","Maintal","Diverse","99%","6x225g","18.166","1.1004","7"
"15289","Ingwerkonfitüre extra","Maintal","Diverse","99%","6x225g","14.4219","0.8736","7"
"15292","Wildpreiselbeeren Auslese","Maintal","Diverse","99%","6x250g","16.9873","1.029","7"
"15302","Johannisbeer rot-Gelee extra","Maintal","Diverse","99%","6x225g","14.4219","0.8736","7"
"15303","Quitten-Gelee extra","Maintal","Diverse","99%","6x225g","14.4219","0.8736","7"
"15311","Holunderbeer-Gelee extra","Maintal","Diverse","99%","6x225g","14.4219","0.8736","7"
"15314","Heidelbeerkonfitüre extra","Maintal","Diverse","99%","6x225g","17.8887","1.0836","7"
"15325","Aufstrich Sauerkirsche DEMETER","Die Beerenbauern","Diverse","Demeter (Deutschland)","6x200g","19.3447","1.1718","7"
"15326","Aufstrich Zwetschge DEMETER","Die Beerenbauern","Diverse","Demeter (Deutschland)","6x200g","16.2246","0.9828","7"
"15329","Aufstrich Heidelbeere DEMETER","Die Beerenbauern","Diverse","Demeter (Deutschland)","6x200g","17.2647","1.0458","7"
"15330","Aufstrich Erdbeer DEMETER","Die Beerenbauern","Diverse","Demeter (Deutschland)","6x200g","18.374","1.113","7"
"15331","Aufstrich Himbeer DEMETER","Die Beerenbauern","Diverse","Demeter (Deutschland)","6x200g","20.7315","1.2558","7"
"15332","Aufstrich Brombeer DEMETER","Die Beerenbauern","Diverse","Demeter (Deutschland)","6x200g","19.3447","1.1718","7"
"15333","Aufstrich Johannisbeer schwarz DEMETER","Die Beerenbauern","Diverse","Demeter (Deutschland)","6x200g","17.958","1.0878","7"
"15334","Aufstrich Johannisbeer rot DEMETER","Die Beerenbauern","Diverse","Demeter (Deutschland)","6x200g","16.4326","0.9954","7"
"15339","Aufstrich Erdbeer-Rhabarber DEMETER","Die Beerenbauern","Diverse","Demeter (Deutschland)","6x200g","17.126","1.0374","7"
"15340","Aufstrich Beerentraum DEMETER","Die Beerenbauern","Diverse","Demeter (Deutschland)","6x200g","18.7207","1.134","7"
"15343","Aufstrich Himbeer-Rose DEMETER","Die Beerenbauern","Diverse","Demeter (Deutschland)","6x200g","23.5742","1.428","7"
"15356","Kräuterflüssigwürze","Erntesegen","Diverse","95%","6x297g","29.6065","1.7934","7"
"15357","Kräuter-Flüssigwürze - Tischflasche","Erntesegen","Diverse","95%","6x107g","16.918","1.0248","7"
"15377","Bruschetta Tomate","La Selva","Italien","100% Biozutaten","6x150g","15.3926","0.9324","7"
"15411","Zuckerrübensirup DEMETER","Bauck","Deutschland","Demeter (Deutschland)","12x450g","39.5215","2.394","7"
"15431","Orangenmarmelade","San Vicario","Diverse","100% Biozutaten","6x240g","22.1182","1.3398","7"
"15432","Zitronenmarmelade","San Vicario","Diverse","100% Biozutaten","6x240g","22.1182","1.3398","7"
"15433","Mandarinenmarmelade","San Vicario","Diverse","100% Biozutaten","6x240g","24.1983","1.4658","7"
"15434","Feigenkonfitüre extra","San Vicario","Diverse","100% Biozutaten","6x240g","24.1983","1.4658","7"
"15448","Nuss-Nougatcreme Nussolade","Green organics","Diverse","99%","6x400g","20.8008","1.26","7"
"15456","Erdmandelcreme","Govinda","RN","100% Biozutaten","6x250g","26.2783","1.5918","7"
"15484","Dattel Klax","Arche","Diverse","99%","6x330g","27.249","1.6506","7"
"15540","Fiordifrutta Aprikose","Rigoni di Asagio","Diverse","100% Biozutaten","6x250g","22.5342","1.365","7"
"15541","Fiordifrutta Himbeere","Rigoni di Asagio","Diverse","100% Biozutaten","6x250g","22.5342","1.365","7"
"15542","Fiordifrutta Bitterorange","Rigoni di Asagio","Diverse","100% Biozutaten","6x260g","22.5342","1.365","7"
"15549","Fiordifrutta Hagebutte","Rigoni di Asagio","Diverse","99%","6x250g","22.5342","1.365","7"
"15553","Fiordifrutta Pfirsich","Rigoni di Asagio","Diverse","99%","6x250g","22.5342","1.365","7"
"15556","Fiordifrutta Wild-Heidelbeere","Rigoni di Asagio","Diverse","100% Biozutaten","6x250g","22.5342","1.365","7"
"15558","Fiordifrutta Erdbeer-Walderdbeer","Rigoni di Asagio","Diverse","100% Biozutaten","6x250g","22.5342","1.365","7"
"15561","Fiordifrutta Zitrone","Rigoni di Asagio","Diverse","99%","6x260g","22.5342","1.365","7"
"15564","Fiordifrutta Feige","Rigoni di Asagio","Diverse","99%","6x260g","22.5342","1.365","7"
"15634","Freiburger Schmalztöpfle vegan","Tartex","Diverse","100% Biozutaten","6x250g","22.9502","1.3902","7"
"15680","Frucht Pur Aprikose","Allos","Diverse","100% Biozutaten","6x250g","17.1953","1.0416","7"
"15681","Frucht Pur Erdbeere","Allos","Diverse","100% Biozutaten","6x250g","17.1953","1.0416","7"
"15682","Frucht Pur Heidelbeere","Allos","Diverse","100% Biozutaten","6x250g","17.1953","1.0416","7"
"15683","Frucht Pur Himbeere","Allos","Diverse","100% Biozutaten","6x250g","17.1953","1.0416","7"
"15684","Frucht Pur Sauerkirsche","Allos","Diverse","100% Biozutaten","6x250g","17.1953","1.0416","7"
"15685","Frucht Pur Johannisbeere schwarz","Allos","Diverse","100% Biozutaten","6x250g","17.1953","1.0416","7"
"15688","Frucht Pur Pflaume","Allos","Diverse","100% Biozutaten","6x250g","17.1953","1.0416","7"
"15690","Frucht Pur Orange","Allos","Diverse","100% Biozutaten","6x250g","17.1953","1.0416","7"
"15695","Frucht Pur Waldfrucht","Allos","Diverse","100% Biozutaten","6x250g","17.1953","1.0416","7"
"15696","Frucht Pur Brombeere","Allos","Diverse","100% Biozutaten","6x250g","17.1953","1.0416","7"
"15736","Fruchtaufstrich Erdbeere-Rhabarber BIOLAND - Weck.","Kiebitzhof","Diverse","Bioland","6x220g","21.4942","1.302","7"
"15742","Fruchtaufstrich Sauerkirsche - Weckglas","Kiebitzhof","Diverse","100% Biozutaten","6x220g","30.1612","1.827","7"
"15784","Nuss Nougatcreme Cocoba FairTrade","GEPA","Diverse","100% Biozutaten","6x400g","25.585","1.5498","7"
"15790","Haselnussmus","Terrasana","Diverse","EG-Bio","6x500g","91.1768","5.523","7"
"15800","Tahin Sesammus braun ohne Salz","Terrasana","Diverse","EG-Bio","6x250g","18.6514","1.1298","7"
"15811","Tahin ohne Salz","Lima","Spanien","EG-Bio","6x500g","32.0332","1.9404","7"
"15812","Tahin mit Salz","Lima","Spanien","100% Biozutaten","6x500g","33.2119","2.0118","7"
"15818","Apfel-Aprikosenmus gesüßt","Bauck","Europäische Union","100% Biozutaten","12x360g","23.9903","1.4532","7"
"15821","Apfel-Sanddornmus gesüßt","Bauck","Deutschland","100% Biozutaten","12x360g","23.9903","1.4532","7"
"15822","Apfel-Bananenmark ungesüßt","Bauck","Diverse","100% Biozutaten","12x360g","23.9903","1.4532","7"
"15823","Apfelmus gesüßt","Bauck","Diverse","100% Biozutaten","12x700g","30.3692","1.8396","7"
"15824","Apfel-Mangomark ungesüßt","Bauck","Diverse","100% Biozutaten","12x360g","23.9903","1.4532","7"
"15825","Apfelmark ungesüßt","Bauck","Deutschland","EG-Bio","12x700g","30.3692","1.8396","7"
"15826","Apfelmark ungesüßt","Bauck","Deutschland","EG-Bio","12x360g","23.9903","1.4532","7"
"15829","Apfelmus gesüßt","Bauck","Diverse","100% Biozutaten","12x360g","23.9903","1.4532","7"
"19381","Mini-Wiener ca.20St","Ökoland","Diverse","100% Biozutaten","6x180g","27.6651","1.6758","7"
"19384","Würstchen vegetarisch 5St","Ökoland","Diverse","100% Biozutaten","6x200g","20.7315","1.2558","7"
"19397","Rindswürstchen 6St","Ökoland","Diverse","100% Biozutaten","6x180g","23.0889","1.3986","7"
"19398","Bockwürstchen 6St","Ökoland","Diverse","100% Biozutaten","12x180g","41.4629","2.5116","7"
"19400","Leberwurst fein BIOLAND - Dose","Ökoland","Diverse","Bioland","10x50g","10.0537","0.609","7"
"19401","Kräuterleberwurst BIOLAND - Dose","Ökoland","Diverse","Bioland","10x50g","10.0537","0.609","7"
"19402","Schinkenwurst BIOLAND - Dose","Ökoland","Diverse","Bioland","10x50g","10.0537","0.609","7"
"19404","Putenlyoner BIOKREIS - Dose","Ökoland","Diverse","Biokreis ","10x50g","11.6716","0.707","7"
"19405","Geflügel-Bockwürstchen BIOKREIS 6St","Ökoland","Diverse","Biokreis ","12x180g","41.4629","2.5116","7"
"25001","Weizenzwieback DEMETER ungesüßt","Naturata","Deutschland","Demeter (Deutschland)","6x150g","12.9658","0.7854","7"
"25002","Butterzwieback DEMETER gesüßt","Naturata","Diverse","Demeter (Deutschland)","6x150g","14.2139","0.861","7"
"25003","Dinkelzwieback DEMETER ungesüßt","Naturata","Diverse","Demeter (Deutschland)","6x150g","15.1152","0.9156","7"
"25006","Babyzwieback Dinkel DEMETER","Holle","Diverse","Demeter (Deutschland)","6x200g","14.7686","0.8946","7"
"25031","Schnitte Hirse glutenfrei","Schnitzer","Diverse","100% Biozutaten","6x250g","14.9766","0.9072","7"
"25043","4-Korn Sesam Knäckebrot glutenfrei","Naturkostmühle Werz","Diverse","100% Biozutaten","8x150g","25.793","1.5624","7"
"25055","Knäckebrot DEMETER Delikatess","Naturata","Deutschland","Demeter (Deutschland)","12x250g","25.9317","1.5708","7"
"25056","Schnitte Buchweizen glutenfrei","Schnitzer","Diverse","100% Biozutaten","6x250g","15.8779","0.9618","7"
"25058","Schnitte Sesam glutenfrei","Schnitzer","Diverse","100% Biozutaten","6x250g","16.71","1.0122","7"
"25063","Knäckebrot DEMETER mit Dinkel","Naturata","Deutschland","Demeter (Deutschland)","12x250g","25.9317","1.5708","7"
"25064","Knäckebrot DEMETER mit Sesam","Naturata","Diverse","Demeter (Deutschland)","12x250g","25.9317","1.5708","7"
"25100","Pumpernickel geschnitten","Davert Mühle","Diverse","100% Biozutaten","12x250g","17.8887","1.0836","7"
"25101","Käse Grissini aus Weizen","Erdmann Hauser","Deutschland","Demeter (Deutschland)","7x100g","9.6261","0.5831","7"
"25102","Pizza Grissini aus Weizen","Erdmann Hauser","Deutschland","Demeter (Deutschland)","7x100g","9.6261","0.5831","7"
"25104","Olivenöl Grissini aus Weizen","Erdmann Hauser","Europäische Union","Demeter (Deutschland)","7x100g","9.6261","0.5831","7"
"25111","Snäckebrot Schwarzkümmel & Käse BIOLAND","Bohlsener Mühle","Diverse","Bioland","8x200g","18.9518","1.148","7"
"25112","Snäckebrot Sesam & Dinkel BIOLAND","Bohlsener Mühle","Diverse","Bioland","8x200g","18.9518","1.148","7"
"25113","Snäckebrot Curry & Kürbiskern BIOLAND","Bohlsener Mühle","Diverse","Bioland","8x200g","18.9518","1.148","7"
"25114","Snäckebrot Brezelsalz & Laugen BIOLAND","Bohlsener Mühle","Diverse","Bioland","8x200g","18.9518","1.148","7"
"25142","E`sener Dinkelbrot DEMETER geschnitten","Härdtner","Baden-Württemberg","Demeter (Deutschland)","6x500g","22.9502","1.3902","7"
"25148","E`sener Winterbrot geschnitten","Härdtner","Deutschland","Demeter (Deutschland)","8x300g","30.5078","1.848","7"
"25149","Vollkorn-Zwieback ungesüßt vegan DEMETER","Sommer","Europäische Union","Demeter (Deutschland)","6x200g","8.251","0.4998","7"
"25150","Dinkel-Zwieback ungesüßt vegan DEMETER","Sommer","Europäische Union","Demeter (Deutschland)","6x200g","11.4404","0.693","7"
"25151","Dinkel Butter-Zwieback DEMETER","Sommer","Diverse","Demeter (Deutschland)","6x200g","12.4111","0.7518","7"
"25155","Dinkel-Cantuccini mit Mandeln DEMETER","Sommer","Diverse","Demeter (Deutschland)","6x150g","12.8965","0.7812","7"
"25156","Dinkel-Schoko-Cookies DEMETER","Sommer","Diverse","Demeter (Deutschland)","6x150g","12.9658","0.7854","7"
"25158","Dinkel-Schoko-Split DEMETER","Sommer","Diverse","Demeter (Deutschland)","6x150g","12.8272","0.777","7"
"25159","Dinkel-Butterherzen DEMETER","Sommer","Diverse","Demeter (Deutschland)","6x150g","12.8272","0.777","7"
"25160","Dinkel-Vanillekipferl DEMETER","Sommer","Diverse","Demeter (Deutschland)","6x150g","12.9658","0.7854","7"
"25168","Dinkel-Schoko-Orange-Cookies DEMETER","Sommer","Diverse","Demeter (Deutschland)","6x150g","12.9658","0.7854","7"
